round_number,kill_index,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,att_alive,def_alive,alive_diff,att_kills,def_kills,kill_diff,spike_planted,winner,att_full_buy,def_full_buy,att_eco,def_eco,ult_adv,alive_ratio,kill_progress
2,1,2,1,12950,4000,8950,0,0,0,1,-1,4,5,-1,0,1,-1,0,0,0,0,0,1,0,0.4444444444444444,0.1
2,2,2,1,12950,4000,8950,0,0,0,1,-1,3,5,-2,0,2,-2,0,0,0,0,0,1,0,0.375,0.2
2,3,2,1,12950,4000,8950,0,0,0,1,-1,2,5,-3,0,3,-3,0,0,0,0,0,1,0,0.2857142857142857,0.3
2,4,2,1,12950,4000,8950,0,0,0,1,-1,1,5,-4,0,4,-4,0,0,0,0,0,1,0,0.16666666666666666,0.4
2,5,2,1,12950,4000,8950,0,0,0,1,-1,1,4,-3,1,4,-3,0,0,0,0,0,1,0,0.2,0.5
3,1,2,1,26000,17350,8650,1,1,0,2,-2,4,5,-1,0,1,-1,0,0,1,0,0,0,0,0.4444444444444444,0.1
3,2,2,1,26000,17350,8650,1,1,0,2,-2,4,4,0,1,1,0,0,0,1,0,0,0,0,0.5,0.2
3,3,2,1,26000,17350,8650,1,1,0,2,-2,4,3,1,2,1,1,0,0,1,0,0,0,0,0.5714285714285714,0.3
3,4,2,1,26000,17350,8650,1,1,0,2,-2,3,3,0,2,2,0,0,0,1,0,0,0,0,0.5,0.4
3,5,2,1,26000,17350,8650,1,1,0,2,-2,2,3,-1,2,3,-1,0,0,1,0,0,0,0,0.4,0.5
3,6,2,1,26000,17350,8650,1,1,0,2,-2,1,3,-2,2,4,-2,0,0,1,0,0,0,0,0.25,0.6
3,7,2,1,26000,17350,8650,1,1,0,2,-2,0,3,-3,2,5,-3,0,0,1,0,0,0,0,0.0,0.7
4,1,2,1,18900,22600,-3700,1,1,0,3,-3,4,5,-1,0,1,-1,0,0,0,1,0,0,0,0.4444444444444444,0.1
4,2,2,1,18900,22600,-3700,1,1,0,3,-3,3,5,-2,0,2,-2,1,0,0,1,0,0,0,0.375,0.2
4,3,2,1,18900,22600,-3700,1,1,0,3,-3,2,5,-3,0,3,-3,1,0,0,1,0,0,0,0.2857142857142857,0.3
4,4,2,1,18900,22600,-3700,1,1,0,3,-3,1,5,-4,0,4,-4,1,0,0,1,0,0,0,0.16666666666666666,0.4
