source_file,match_id,round_number,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,winner
first_match.json,54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,1,Foxtrot,attack,0,0,0,0,0,0,0,0,
first_match.json,54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,2,Foxtrot,attack,12950,4000,8950,0,0,0,1,-1,enemies
first_match.json,54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,3,Foxtrot,attack,26000,17350,8650,1,1,0,2,-2,enemies
first_match.json,54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,4,Foxtrot,attack,18900,22600,-3700,1,1,0,3,-3,enemies
first_match.json,54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,5,Foxtrot,defense,35300,5300,30000,0,0,0,4,-4,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,1,Triad,defense,0,0,0,0,0,0,0,0,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,2,Triad,defense,4000,7700,-3700,0,0,1,0,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,3,Triad,defense,12750,23250,-10500,0,0,2,0,2,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,4,Triad,defense,5350,29750,-24400,0,0,3,0,3,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,5,Triad,defense,6400,28000,-21600,1,1,3,1,2,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,Triad,defense,9150,28050,-18900,4,1,3,2,1,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,7,Triad,defense,11300,17800,-6500,4,1,3,3,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,8,Triad,defense,14150,26700,-12550,2,1,4,3,1,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,9,Triad,defense,8700,24050,-15350,1,1,5,3,2,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,10,Triad,defense,5800,29450,-23650,1,1,6,3,3,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,11,Triad,defense,4200,26400,-22200,1,2,6,4,2,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,12,Triad,defense,9600,19300,-9700,2,1,6,5,1,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,13,Triad,attack,13950,10150,3800,1,2,7,5,2,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,14,Triad,attack,23500,3550,19950,0,0,8,5,3,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,15,Triad,attack,31250,3750,27500,0,0,9,5,4,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,16,Triad,attack,33050,3750,29300,1,0,9,6,3,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,17,Triad,attack,31150,9850,21300,2,1,10,6,4,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,18,Triad,attack,26500,5200,21300,1,1,10,7,3,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,19,Triad,attack,24000,6300,17700,0,2,11,7,4,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,20,Triad,attack,26250,4550,21700,1,1,12,7,5,allies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,1,Jam,attack,0,0,0,0,0,0,0,0,
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,2,Jam,attack,10100,4000,6100,0,0,0,1,-1,enemies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,3,Jam,attack,14350,16400,-2050,0,0,0,2,-2,enemies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,4,Jam,attack,16400,20750,-4350,2,2,0,3,-3,enemies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,5,Jam,attack,20600,27750,-7150,0,1,1,3,-2,allies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,6,Jam,attack,19000,23200,-4200,2,1,2,3,-1,allies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,7,Jam,attack,25650,20400,5250,3,3,3,3,0,allies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,8,Jam,attack,12300,17000,-4700,1,1,3,4,-1,enemies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,9,Jam,attack,13250,17650,-4400,1,2,3,5,-2,enemies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,10,Jam,attack,13100,24250,-11150,1,1,4,5,-1,allies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,11,Jam,attack,15000,18950,-3950,2,2,5,5,0,allies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,12,Jam,attack,29100,16200,12900,3,2,6,5,1,allies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,13,Jam,defense,16200,13400,2800,1,1,7,5,2,allies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,14,Jam,defense,6350,13800,-7450,0,0,8,5,3,allies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,15,Jam,defense,12400,13450,-1050,0,0,8,6,2,enemies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,16,Jam,defense,17750,13250,4500,0,1,8,7,1,enemies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,17,Jam,defense,19150,10100,9050,0,3,8,8,0,enemies
